Acc_X,Acc_Y,Acc_Z
-0.228064,-9.931944,-0.365854
-0.236354,-9.932514,-0.359392
-0.239557,-9.931467,-0.362506
-0.228954,-9.932513,-0.362656
-0.219205,-9.932425,-0.351971
-0.219596,-9.932296,-0.364616
-0.227344,-9.925242,-0.357236
-0.232613,-9.928836,-0.366095
-0.228305,-9.933819,-0.364182
-0.233809,-9.923566,-0.361787
-0.238095,-9.929467,-0.374845
-0.23812,-9.931231,-0.365138
-0.227429,-9.932296,-0.376586
-0.227106,-9.931468,-0.352208
-0.215897,-9.929464,-0.366573
-0.23043,-9.933385,-0.364714
-0.213138,-9.934978,-0.364616
-0.201567,-9.922289,-0.384212
-0.230457,-9.934341,-0.387164
-0.221553,-9.932077,-0.390735
-0.216171,-9.928035,-0.369206
-0.184488,-9.929791,-0.383891
-0.196744,-9.934254,-0.375716
-0.179463,-9.932425,-0.390991
-0.177155,-9.934036,-0.390735
-0.187363,-9.9341,-0.378784
-0.181073,-9.931643,-0.380285
-0.200931,-9.929873,-0.394745
-0.183322,-9.932294,-0.382464
-0.211979,-9.930552,-0.39291
-0.218965,-9.929072,-0.405119
-0.203563,-9.928521,-0.398933
-0.217528,-9.928355,-0.398897
-0.214417,-9.930031,-0.368967
-0.214809,-9.928812,-0.385947
-0.225189,-9.932665,-0.396263
-0.251526,-9.933142,-0.400809
-0.242906,-9.926679,-0.386209
-0.246148,-9.93273,-0.37724
-0.198854,-9.932668,-0.374475
-0.173077,-9.932584,-0.365617
-0.163899,-9.930989,-0.362584
-0.203706,-9.93469,-0.381159
-0.207474,-9.926199,-0.383812
-0.215898,-9.932513,-0.373758
-0.177544,-9.929792,-0.359392
-0.176286,-9.929248,-0.361786
-0.181854,-9.932425,-0.370168
-0.177587,-9.926418,-0.380288
-0.199092,-9.93075,-0.371362
-0.195222,-9.93186,-0.371145
-0.195048,-9.932851,-0.361165
-0.210093,-9.931354,-0.37042
-0.19275,-9.929682,-0.357432
-0.18808,-9.938413,-0.339999
-0.160393,-9.923806,-0.331966
-0.15504,-9.940565,-0.334491
-0.170191,-9.929682,-0.368969
-0.212981,-9.932904,-0.389798
-0.214415,-9.92596,-0.377109
-0.215613,-9.932901,-0.375912
-0.204142,-9.932296,-0.367226
-0.194786,-9.932424,-0.376628
-0.189123,-9.928596,-0.382245
-0.195981,-9.930989,-0.372562
-0.19043,-9.933817,-0.376803
-0.189517,-9.936017,-0.390994
-0.195874,-9.93099,-0.368749
-0.177782,-9.931707,-0.370404
-0.185207,-9.935995,-0.377237
-0.200769,-9.93482,-0.381897
-0.186732,-9.932513,-0.374191
-0.193111,-9.933861,-0.365375
-0.187457,-9.927941,-0.366065
-0.198375,-9.931308,-0.370885
-0.193826,-9.933622,-0.375194
-0.184991,-9.929248,-0.367881
-0.207471,-9.931705,-0.373038
-0.197399,-9.931207,-0.372013
-0.200768,-9.931227,-0.371605
-0.208715,-9.929685,-0.369186
-0.200772,-9.933382,-0.375432
-0.198922,-9.927723,-0.371361
-0.208911,-9.929312,-0.374237
-0.194566,-9.935558,-0.377457
-0.204362,-9.930987,-0.371602
-0.200804,-9.931714,-0.363016
-0.1714,-9.931711,-0.377188
-0.18425,-9.931706,-0.363702
-0.198413,-9.93382,-0.362439
-0.191517,-9.924094,-0.362441
-0.210748,-9.938704,-0.355135
-0.184474,-9.928927,-0.352609
-0.195496,-9.933914,-0.358597
-0.18129,-9.927069,-0.361786
-0.181139,-9.929791,-0.367772
-0.192171,-9.928161,-0.365488
-0.182574,-9.925959,-0.370164
-0.176285,-9.927941,-0.365051
-0.163661,-9.925245,-0.373517
-0.163005,-9.931857,-0.363745
-0.162459,-9.932904,-0.368251
-0.167011,-9.936017,-0.37256
-0.177547,-9.93458,-0.383333
-0.175194,-9.932514,-0.381592
-0.186882,-9.931946,-0.382138
-0.18194,-9.929682,-0.368315
-0.176109,-9.929792,-0.376628
-0.184729,-9.931705,-0.386685
-0.197833,-9.932297,-0.384639
-0.197418,-9.932184,-0.377347
-0.201098,-9.928375,-0.377455
-0.198618,-9.930272,-0.375432
-0.201316,-9.930552,-0.363961
-0.190952,-9.931227,-0.36777
-0.197615,-9.931421,-0.373975
-0.20101,-9.932665,-0.372321
-0.198456,-9.932584,-0.359792
-0.196959,-9.929754,-0.371288
-0.199814,-9.933385,-0.366096
-0.202924,-9.934341,-0.370404
-0.193347,-9.931706,-0.363222
-0.20632,-9.932728,-0.359172
-0.189035,-9.932425,-0.354602
-0.213937,-9.93251,-0.365484
-0.209387,-9.930748,-0.373518
-0.217857,-9.935561,-0.372668
-0.219923,-9.937694,-0.376151
-0.216549,-9.927286,-0.368969
-0.217767,-9.932665,-0.362984
-0.197896,-9.930031,-0.363942
-0.212021,-9.935778,-0.370406
-0.216332,-9.932511,-0.370493
-0.219685,-9.930751,-0.374236
-0.223274,-9.931706,-0.370404
-0.214375,-9.924457,-0.365484
