Acc_X,Acc_Y,Acc_Z
0.255458,-9.893812,-0.906001
0.261638,-9.891377,-0.918328
0.254861,-9.893213,-0.903275
0.240095,-9.898601,-0.88718
0.225799,-9.895365,-0.86377
0.232582,-9.897869,-0.872682
0.236772,-9.89747,-0.872481
0.235174,-9.898402,-0.883654
0.227755,-9.899068,-0.870082
0.197534,-9.896669,-0.823867
0.262576,-9.900395,-0.84967
0.333338,-9.894609,-0.880529
0.330996,-9.892389,-0.890033
0.303941,-9.894808,-0.87747
0.293301,-9.893744,-0.867161
0.281155,-9.897036,-0.872623
0.274279,-9.897203,-0.882857
0.269226,-9.893879,-0.851865
0.285252,-9.893478,-0.87022
0.287611,-9.896309,-0.895329
0.263173,-9.896406,-0.863038
0.264969,-9.893945,-0.883589
0.260513,-9.898998,-0.867428
0.262945,-9.896962,-0.831991
0.297756,-9.895274,-0.856256
0.273149,-9.895874,-0.876738
0.267079,-9.901169,-0.875304
0.261046,-9.90086,-0.816951
0.261976,-9.899133,-0.831049
0.253584,-9.89914,-0.851655
0.233778,-9.897468,-0.850403
0.234244,-9.901927,-0.833577
0.206716,-9.901604,-0.849405
0.167406,-9.902259,-0.82074
0.227593,-9.903588,-0.794206
0.279632,-9.898413,-0.797095
0.281728,-9.900861,-0.831181
0.240362,-9.899464,-0.835373
0.256775,-9.900081,-0.83083
0.261776,-9.8988,-0.826926
0.271289,-9.899263,-0.849804
0.282823,-9.898268,-0.855717
0.254745,-9.901824,-0.828799
0.223003,-9.90259,-0.847741
0.210434,-9.902192,-0.835172
0.189087,-9.90458,-0.800506
0.181638,-9.904786,-0.762881
0.1976,-9.906913,-0.760087
0.211288,-9.908063,-0.789549
0.221155,-9.903489,-0.802318
0.250804,-9.900395,-0.822336
0.251736,-9.899929,-0.83464
0.174429,-9.901821,-0.829307
0.134552,-9.903522,-0.837567
0.162417,-9.901059,-0.832645
0.237769,-9.900442,-0.855571
0.314582,-9.891152,-0.910125
0.300284,-9.893677,-0.926817
0.195138,-9.89767,-0.849671
0.17523,-9.901241,-0.837868
0.209237,-9.898398,-0.85426
0.240097,-9.8982,-0.861974
0.260333,-9.900952,-0.833226
0.226596,-9.901127,-0.815753
0.219013,-9.899401,-0.844616
0.199594,-9.898599,-0.841757
0.225531,-9.901791,-0.860844
0.270562,-9.899501,-0.862029
0.255327,-9.897001,-0.859646
0.178379,-9.900196,-0.837101
0.179438,-9.902328,-0.799489
0.179643,-9.903124,-0.829919
0.192412,-9.900462,-0.834574
0.184298,-9.904943,-0.822343
0.175585,-9.903058,-0.827724
0.189817,-9.898333,-0.854724
0.193143,-9.901925,-0.867761
0.258785,-9.897137,-0.855522
0.258808,-9.891085,-0.880529
0.25393,-9.897603,-0.908527
0.249472,-9.89102,-0.95282
0.312933,-9.885933,-0.99915
0.329347,-9.883438,-1.005227
0.326753,-9.884301,-0.98388
0.271952,-9.889555,-0.947167
0.244081,-9.893695,-0.933855
0.226463,-9.892414,-0.925153
0.242757,-9.892482,-0.928014
0.266499,-9.891815,-0.910855
0.252799,-9.896006,-0.913982
0.249958,-9.897977,-0.89903
0.238035,-9.895672,-0.872016
0.245949,-9.896672,-0.875343
0.233846,-9.900196,-0.863636
0.214552,-9.903342,-0.837723
0.197333,-9.899597,-0.833309
