Acc_X,Acc_Y,Acc_Z
-2.958956,-10.214833,-0.004317
-4.717773,-7.266653,2.397772
-3.559641,-9.991383,-0.49617
-3.582379,-9.453081,0.012641
-2.653698,-10.59466,-0.373756
-3.732816,-8.256845,1.368291
-2.894047,-10.233321,0.577474
-4.341952,-8.046001,1.531824
-2.382618,-10.214369,0.265162
-4.925248,-7.976432,1.658852
-2.584263,-10.285332,0.217678
-4.458162,-7.893215,1.447922
-2.981839,-10.353535,0.222399
-5.109348,-7.044645,1.817272
-3.667773,-9.66849,-0.123364
-4.776671,-8.270918,1.336935
-3.319352,-9.579773,0.352817
-3.307657,-8.307857,1.539212
-3.721593,-9.449905,0.90168
-2.808294,-10.037701,0.404221
-4.421083,-7.83726,1.854847
-2.508609,-10.619633,-0.071744
-4.719891,-7.656763,1.848595
-2.299013,-10.267136,-0.321497
-4.663295,-7.916334,1.876594
-3.389266,-10.284919,0.875607
-4.466504,-7.337915,1.904673
-3.071219,-10.261388,0.461887
-4.948232,-7.414614,2.223542
-2.636071,-10.2012,0.337521
-4.484329,-7.893258,1.936914
-2.026066,-10.760718,0.285141
-4.564733,-7.664011,1.709133
-2.136139,-10.709309,0.021698
-4.658375,-7.719877,1.632585
-2.494107,-10.348878,-0.674265
-3.754098,-8.609056,0.739015
-2.71616,-10.468275,-0.877807
-4.092743,-8.448444,1.599797
-3.016794,-10.100292,0.617852
-4.193167,-7.998603,1.503565
-2.679141,-10.458536,0.308067
-4.20676,-8.141394,1.663005
-2.958956,-10.214833,-0.004317
-4.717773,-7.266653,2.397772
-3.559641,-9.991383,-0.49617
-3.582379,-9.453081,0.012641
-2.653698,-10.59466,-0.373756
-3.732816,-8.256845,1.368291
-2.894047,-10.233321,0.577474
-4.341952,-8.046001,1.531824
-2.382618,-10.214369,0.265162
-4.925248,-7.976432,1.658852
-2.584263,-10.285332,0.217678
-4.458162,-7.893215,1.447922
-2.981839,-10.353535,0.222399
-5.109348,-7.044645,1.817272
-3.667773,-9.66849,-0.123364
-4.776671,-8.270918,1.336935
-3.319352,-9.579773,0.352817
-3.307657,-8.307857,1.539212
-3.721593,-9.449905,0.90168
-2.808294,-10.037701,0.404221
-4.421083,-7.83726,1.854847
-2.508609,-10.619633,-0.071744
-4.719891,-7.656763,1.848595
-2.299013,-10.267136,-0.321497
-4.663295,-7.916334,1.876594
-2.272685,-9.517656,0.562177
-3.246435,-9.357132,1.300132
-2.054873,-9.685205,0.465923
-3.725958,-8.886706,1.49981
-1.899854,-10.170609,0.23211
-4.376759,-8.230178,1.879961
-1.378203,-10.803503,0.231907
-4.087823,-7.90399,1.722608
-1.41692,-10.712044,0.15331
-3.804374,-8.09058,1.534489
-1.947937,-10.381698,-0.475777
-2.774043,-8.740438,0.465341
-2.043106,-9.69682,-0.301931
-2.734827,-9.247615,0.593228
-3.011497,-9.942226,0.653888
-2.966586,-9.372523,1.656253
-2.136345,-10.05788,0.073002
-3.047304,-9.034666,1.261073
-2.206911,-10.014653,-0.183485
-3.74949,-7.904333,2.268553
-2.70418,-9.396194,0.194422
-3.042954,-10.085613,-0.509495
-2.154471,-9.939266,0.502863
-2.661676,-9.249972,0.579999
-2.949121,-9.89492,0.936876
-1.817368,-9.742941,0.565523
-2.982964,-9.217785,1.122753
-1.803688,-9.98065,0.266521
-3.481624,-8.838233,1.340691
-1.684964,-10.468064,0.10628
-3.281974,-8.388256,1.281833
-2.125126,-10.720393,-0.092266
-4.395511,-7.565517,2.128732
-2.328498,-9.905816,-0.560777
-5.027788,-8.278305,1.725822
-2.510442,-9.563808,0.444394
-2.450825,-9.226672,0.808204
-2.840717,-9.556536,1.089648
-1.667491,-10.161857,0.415782
-3.754895,-8.396971,1.440982
-1.751289,-10.647059,0.064725
-4.139497,-8.203306,1.646284
-1.482659,-10.474678,-0.263145
-2.272685,-9.517656,0.562177
-3.246435,-9.357132,1.300132
-2.054873,-9.685205,0.465923
-3.725958,-8.886706,1.49981
-1.899854,-10.170609,0.23211
-4.376759,-8.230178,1.879961
-1.378203,-10.803503,0.231907
-4.087823,-7.90399,1.722608
-1.41692,-10.712044,0.15331
-3.804374,-8.09058,1.534489
-1.947937,-10.381698,-0.475777
-2.774043,-8.740438,0.465341
-2.043106,-9.69682,-0.301931
-2.734827,-9.247615,0.593228
-3.011497,-9.942226,0.653888
-2.966586,-9.372523,1.656253
-2.136345,-10.05788,0.073002
-3.047304,-9.034666,1.261073
-2.206911,-10.014653,-0.183485
-3.74949,-7.904333,2.268553
-2.70418,-9.396194,0.194422
-3.042954,-10.085613,-0.509495
-2.154471,-9.939266,0.502863
-2.661676,-9.249972,0.579999
-2.949121,-9.89492,0.936876
-1.817368,-9.742941,0.565523
-2.982964,-9.217785,1.122753
-1.803688,-9.98065,0.266521
-3.481624,-8.838233,1.340691
-1.684964,-10.468064,0.10628
-3.281974,-8.388256,1.281833
-2.125126,-10.720393,-0.092266
-4.395511,-7.565517,2.128732
-2.328498,-9.905816,-0.560777
-5.027788,-8.278305,1.725822
-2.510442,-9.563808,0.444394
-2.450825,-9.226672,0.808204
-2.840717,-9.556536,1.089648
-1.667491,-10.161857,0.415782
-3.754895,-8.396971,1.440982
-1.751289,-10.647059,0.064725
-4.139497,-8.203306,1.646284
-1.482659,-10.474678,-0.263145
-5.085739,-7.713891,0.860056
-2.210835,-9.228156,0.775593
-3.001853,-9.681061,0.056336
-1.867604,-9.620468,-0.331749
-3.724967,-9.111374,0.512297
-1.705992,-10.258994,-0.411865
-4.171334,-8.51413,0.860418
-0.98487,-10.89512,-0.671103
-4.375791,-7.917797,0.917782
-1.137433,-10.561595,-0.847609
-3.556171,-8.353936,0.829874
-1.743765,-9.359241,-0.532373
-1.464043,-10.116804,-1.784407
-1.871814,-10.075945,0.300392
-1.528754,-11.00758,-1.278965
-2.756846,-8.626814,0.566167
-1.10574,-10.909784,-0.965851
-3.516484,-8.421481,0.608373
-1.720022,-10.549294,-0.557911
-3.497838,-8.456377,0.460587
-1.428741,-10.68763,-0.79956
-4.125665,-8.131947,0.984487
-2.090394,-10.207321,-0.720717
-2.039989,-9.913651,-0.347783
-1.9496,-10.618459,-1.110837
-3.065698,-9.078188,0.09338
-1.576965,-10.484123,-0.547082
-3.68972,-8.644505,0.531117
-1.463843,-10.471213,-0.41539
-3.839631,-8.417926,0.485834
-1.639085,-10.38835,-0.380141
-3.565885,-8.453834,0.244346
-1.677594,-10.715417,-0.346405
-4.712909,-7.628366,0.718863
-2.277274,-9.848454,-0.194191
-4.358157,-8.762619,-0.377747
-3.475039,-9.44317,0.361464
-2.335665,-9.276109,0.260974
-3.098617,-9.585092,0.005658
-2.015828,-9.58753,-0.088194
-3.6973,-9.189518,0.380949
-1.738179,-10.591656,-0.737875
-4.334068,-8.199108,0.477347
-1.371734,-10.459976,-0.334652
-2.210835,-9.228156,0.775593
-3.001853,-9.681061,0.056336
-1.867604,-9.620468,-0.331749
-3.724967,-9.111374,0.512297
-1.705992,-10.258994,-0.411865
-4.171334,-8.51413,0.860418
-0.98487,-10.89512,-0.671103
-4.375791,-7.917797,0.917782
-1.137433,-10.561595,-0.847609
-3.556171,-8.353936,0.829874
-1.743765,-9.359241,-0.532373
-1.464043,-10.116804,-1.784407
-1.871814,-10.075945,0.300392
-1.528754,-11.00758,-1.278965
-2.756846,-8.626814,0.566167
-1.10574,-10.909784,-0.965851
-3.516484,-8.421481,0.608373
-1.720022,-10.549294,-0.557911
-3.497838,-8.456377,0.460587
-1.428741,-10.68763,-0.79956
-4.125665,-8.131947,0.984487
-2.090394,-10.207321,-0.720717
-2.039989,-9.913651,-0.347783
-1.9496,-10.618459,-1.110837
-3.065698,-9.078188,0.09338
-1.576965,-10.484123,-0.547082
-3.68972,-8.644505,0.531117
-1.463843,-10.471213,-0.41539
-3.839631,-8.417926,0.485834
-1.639085,-10.38835,-0.380141
-3.565885,-8.453834,0.244346
-1.677594,-10.715417,-0.346405
-4.712909,-7.628366,0.718863
-2.277274,-9.848454,-0.194191
-4.358157,-8.762619,-0.377747
-3.475039,-9.44317,0.361464
-2.335665,-9.276109,0.260974
-3.098617,-9.585092,0.005658
-2.015828,-9.58753,-0.088194
-3.6973,-9.189518,0.380949
-1.738179,-10.591656,-0.737875
-4.334068,-8.199108,0.477347
-1.371734,-10.459976,-0.334652
-5.449167,-6.69348,2.549359
-3.440323,-10.502138,0.304733
-5.00037,-7.255258,1.048539
-3.852726,-10.341725,-0.273133
-5.498558,-6.778099,1.149229
-3.853742,-10.302476,-0.43415
-4.927322,-7.629496,1.10872
-3.345618,-9.925666,-0.670771
-5.481885,-7.226879,0.973897
-3.434539,-9.436454,-0.643503
-3.655979,-8.6124,0.396287
-4.254752,-8.975505,-0.049209
-3.205733,-9.673852,-1.906729
-3.849931,-9.33922,0.352219
-3.853741,-10.43295,-1.429805
-4.820315,-7.61533,0.929286
-3.743917,-10.136195,0.054497
-5.306538,-7.431908,0.946979
-3.80695,-10.052408,-0.07838
-5.006065,-7.643928,0.714541
-3.760023,-10.154469,-0.117509
-5.458172,-7.035202,1.029314
-4.156367,-9.485871,-0.290849
-4.004158,-8.982089,-0.315631
-5.000493,-10.056788,-0.1565
-5.244454,-7.189852,1.430948
-3.772724,-10.12631,-0.198131
-4.852551,-7.719115,0.832061
-4.01369,-10.00915,-0.518027
-5.229924,-7.789442,1.125877
-3.996912,-9.617552,-0.571039
-4.939627,-7.92518,0.943986
-3.883153,-9.678777,-0.557768
-4.55755,-8.220598,0.693193
-3.806636,-9.292402,-0.910125
-4.352007,-8.886912,-0.160057
-3.541479,-9.293269,-0.111324
-5.311887,-8.582512,0.24078
-5.112612,-8.561644,1.012282
-3.722973,-9.601852,-0.177233
-5.408016,-7.870146,0.57146
-3.729357,-10.130307,-0.229506
-5.45847,-7.149267,1.026442
-3.36351,-10.193951,-0.520934
-5.902826,-6.951271,1.294537
-3.27701,-10.002199,-0.92661
-5.449167,-6.69348,2.549359
-3.440323,-10.502138,0.304733
-5.00037,-7.255258,1.048539
-3.852726,-10.341725,-0.273133
-5.498558,-6.778099,1.149229
-3.853742,-10.302476,-0.43415
-4.927322,-7.629496,1.10872
-3.345618,-9.925666,-0.670771
-5.481885,-7.226879,0.973897
-3.434539,-9.436454,-0.643503
-3.655979,-8.6124,0.396287
-4.254752,-8.975505,-0.049209
-3.205733,-9.673852,-1.906729
-3.849931,-9.33922,0.352219
-3.853741,-10.43295,-1.429805
-4.820315,-7.61533,0.929286
-3.743917,-10.136195,0.054497
-5.306538,-7.431908,0.946979
-3.80695,-10.052408,-0.07838
-5.006065,-7.643928,0.714541
-3.760023,-10.154469,-0.117509
-5.458172,-7.035202,1.029314
-4.156367,-9.485871,-0.290849
-4.004158,-8.982089,-0.315631
-5.000493,-10.056788,-0.1565
-5.244454,-7.189852,1.430948
-3.772724,-10.12631,-0.198131
-4.852551,-7.719115,0.832061
-4.01369,-10.00915,-0.518027
-5.229924,-7.789442,1.125877
-3.996912,-9.617552,-0.571039
-4.939627,-7.92518,0.943986
-3.883153,-9.678777,-0.557768
